City,State,Year,Zipcode,AvrgCommute,AvrgIncome
Alexandria,Virginia,2016,2000,39.8876955817005,83319.27459032422
Alexandria,Virginia,2017,2000,38.793430074948176,85662.44702058301
Alhambra,California,2013,1768,36.4465813073454,47552.1396697487
Alhambra,California,2014,1768,37.69933640935248,44805.07771907157
Alhambra,California,2015,1768,37.1668826637424,50884.55338565022
Alhambra,California,2016,1768,38.613929735417145,46949.67811462167
Alhambra,California,2017,1768,38.0829628157679,53681.51673525677
Allen,Texas,2013,3848,31.386848981798522,63552.69085783251
Allen,Texas,2014,3848,31.666236786469344,75643.74293708327
Allen,Texas,2015,3848,35.104474430304194,70847.70710729645
Allen,Texas,2016,3848,34.9733351350134,76763.24435048975
Allen,Texas,2017,3848,37.59161579854095,80596.91358179314
Allentown,Pennsylvania,2013,4000,30.864132929404203,27247.51743409928
Allentown,Pennsylvania,2014,4000,29.258944274996104,29538.74551625519
Allentown,Pennsylvania,2015,4000,28.58319675489634,31663.544417615074
Allentown,Pennsylvania,2016,4000,26.42883311576199,29881.122662189668
Allentown,Pennsylvania,2017,4000,28.539994158391053,32682.841076280733
Alpharetta,Georgia,2016,3392,37.42418293900885,81992.35438176607
Alpharetta,Georgia,2017,3392,36.965422310318246,90476.37705122175
Amarillo,Texas,2013,6000,22.48822554620383,40847.97497682154
Amarillo,Texas,2014,6000,21.68117899586409,41424.05179301204
Amarillo,Texas,2015,6000,20.59350089389,41422.56044860056
Amarillo,Texas,2016,6000,23.241458699854476,44180.87929336272
Amarillo,Texas,2017,6000,22.380834697392775,45239.67363019887
Ames,Iowa,2015,3710,20.107231920199503,29415.226290218096
Ames,Iowa,2016,3710,20.913187855787477,30339.728531050794
Ames,Iowa,2017,3710,22.540604771881547,33894.767854915815
Anaheim,California,2013,4000,34.77535135552737,43519.426049976995
Anaheim,California,2014,4000,35.9726235979698,45516.13765673895
Anaheim,California,2015,4000,34.17984240490827,43168.25745056072
Anaheim,California,2016,4000,36.91856553276639,44131.10954884359
Anaheim,California,2017,4000,34.174868589374384,46932.633062608846
Anchorage municipality,Alaska,2013,6000,24.05448028673835,56335.081700567935
Anchorage municipality,Alaska,2014,6000,22.162053667123526,54755.199319230334
Anchorage municipality,Alaska,2015,6000,23.053738967036747,56043.720390758346
Anchorage municipality,Alaska,2016,6000,21.949454761747408,59210.92999744476
Anchorage municipality,Alaska,2017,6000,23.177330138929424,59906.028555853256
Ann Arbor,Michigan,2013,6000,25.340830188679245,45698.394596908074
Ann Arbor,Michigan,2014,6000,25.032612458323463,45961.859431839
Ann Arbor,Michigan,2015,6000,24.21278124409151,43007.401335292285
Ann Arbor,Michigan,2016,6000,24.62314150621146,48216.77009922402
Ann Arbor,Michigan,2017,6000,25.55743575223597,47324.480496178185
Antioch,California,2013,4504,54.68181818181818,45515.30913210521
Antioch,California,2014,4504,53.72753182595478,47091.7497152079
Antioch,California,2015,4504,56.49043233334824,50400.99888591383
Antioch,California,2016,4504,57.140588136164475,55514.94586197073
Antioch,California,2017,4504,57.31905521864028,52065.5302215048
Apple Valley town,California,2013,4728,38.413130214000724,44796.55391839378
Apple Valley town,California,2014,4728,40.4869508304017,42487.660008403065
Apple Valley town,California,2015,4728,35.543707113327365,40317.28078263395
Apple Valley town,California,2016,4728,43.903276198741594,43423.99287376902
Apple Valley town,California,2017,4728,39.17777422193775,53570.32197665154
Appleton,Wisconsin,2013,4750,22.157736048664376,39633.806498856924
Appleton,Wisconsin,2014,4750,22.25888976171773,40905.998297468206
