City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
Bakersfield city, California,03526,Male,1538.0,7605.0,12332.0,19136.0,12669.0,5205.0,8078.0,830.0,1811.0,4996.0,3821.0,2077.0,2014
Baldwin Park city, California,03666,Male,141.0,558.0,1925.0,2457.0,2454.0,1430.0,3543.0,674.0,1223.0,1220.0,1548.0,172.0,2014
Bellflower city, California,04982,Male,206.0,763.0,2030.0,2590.0,2572.0,809.0,4114.0,461.0,1455.0,1704.0,1848.0,307.0,2014
Berkeley city, California,06000,Male,627.0,1673.0,4427.0,4100.0,2076.0,1555.0,3067.0,1000.0,1194.0,3061.0,1960.0,603.0,2014
Buena Park city, California,08786,Male,0.0,1018.0,2120.0,2320.0,3142.0,1531.0,5786.0,180.0,909.0,1480.0,2938.0,292.0,2014
Burbank city, California,08954,Male,849.0,3681.0,3347.0,3664.0,4577.0,917.0,3179.0,201.0,1266.0,2415.0,2438.0,208.0,2014
Camarillo city, California,10046,Male,1078.0,1803.0,2338.0,2045.0,2434.0,1033.0,2285.0,392.0,239.0,899.0,757.0,720.0,2014
Carlsbad city, California,11194,Male,635.0,1227.0,4617.0,3429.0,3719.0,989.0,2757.0,814.0,2900.0,3165.0,2683.0,1009.0,2014
Carmichael CDP, California,11390,Male,160.0,580.0,1012.0,2322.0,2212.0,1360.0,2173.0,641.0,329.0,841.0,524.0,476.0,2014
Carson city, California,11530,Male,945.0,1217.0,2836.0,4496.0,3172.0,1239.0,2728.0,488.0,377.0,1137.0,1148.0,287.0,2014
Chico city, California,13014,Male,677.0,4413.0,6172.0,3090.0,1807.0,722.0,866.0,321.0,213.0,1027.0,1407.0,393.0,2014
Chino city, California,13210,Male,109.0,2053.0,1088.0,2030.0,2643.0,1104.0,2350.0,734.0,766.0,1673.0,1870.0,1028.0,2014
Chino Hills city, California,13214,Male,231.0,922.0,2010.0,920.0,2059.0,1295.0,2670.0,190.0,1165.0,3293.0,3284.0,1981.0,2014
Chula Vista city, California,13392,Male,376.0,2884.0,4969.0,8942.0,11270.0,4198.0,12043.0,1613.0,1843.0,7039.0,3219.0,938.0,2014
Citrus Heights city, California,13588,Male,428.0,1080.0,1303.0,1927.0,4456.0,1243.0,3708.0,672.0,700.0,1411.0,1115.0,712.0,2014
Clovis city, California,14218,Male,699.0,1757.0,3019.0,4537.0,4888.0,1521.0,2285.0,565.0,434.0,1213.0,1236.0,516.0,2014
Compton city, California,15044,Male,29.0,879.0,2154.0,3259.0,2636.0,1428.0,4618.0,671.0,979.0,2521.0,1080.0,593.0,2014
Concord city, California,16000,Male,805.0,2133.0,3398.0,4520.0,4052.0,1372.0,4498.0,798.0,1703.0,3877.0,4335.0,1168.0,2014
Corona city, California,16350,Male,0.0,1716.0,4451.0,4240.0,2721.0,744.0,4291.0,1039.0,2647.0,6802.0,8979.0,1838.0,2014
Costa Mesa city, California,16532,Male,370.0,2706.0,5055.0,6521.0,4897.0,1432.0,6146.0,279.0,570.0,1538.0,1426.0,1113.0,2014
Daly City city, California,17918,Male,0.0,1164.0,3822.0,2746.0,5451.0,1111.0,4649.0,670.0,1099.0,2938.0,2752.0,633.0,2014
Davis city, California,18100,Male,252.0,2354.0,3066.0,3728.0,1335.0,822.0,1482.0,165.0,722.0,1261.0,353.0,596.0,2014
Downey city, California,19766,Male,132.0,1927.0,2206.0,2744.0,3613.0,1975.0,5312.0,915.0,2052.0,4351.0,1802.0,874.0,2014
East Los Angeles CDP, California,20802,Male,728.0,1083.0,2871.0,2664.0,3838.0,2785.0,7152.0,297.0,1833.0,2128.0,1662.0,709.0,2014
El Cajon city, California,21712,Male,239.0,1426.0,2191.0,3977.0,4946.0,2676.0,4222.0,719.0,1188.0,1928.0,925.0,473.0,2014
Elk Grove city, California,22020,Male,44.0,2224.0,1826.0,3234.0,4760.0,3452.0,7789.0,1101.0,2473.0,3535.0,1158.0,2891.0,2014
El Monte city, California,22230,Male,161.0,367.0,2356.0,2212.0,3486.0,1305.0,5967.0,203.0,1225.0,6414.0,2779.0,391.0,2014
Escondido city, California,22804,Male,315.0,2503.0,3606.0,7212.0,2956.0,2883.0,5979.0,2116.0,1557.0,3895.0,1268.0,716.0,2014
Fairfield city, California,23182,Male,370.0,2158.0,2173.0,3260.0,2781.0,1404.0,3122.0,570.0,1314.0,3218.0,2761.0,2014.0,2014
Folsom city, California,24638,Male,235.0,2774.0,2750.0,2012.0,1424.0,756.0,2411.0,813.0,488.0,1345.0,460.0,474.0,2014
Fontana city, California,24680,Male,803.0,1932.0,4340.0,4916.0,9179.0,2752.0,7022.0,1123.0,2035.0,3642.0,4895.0,3143.0,2014
Fremont city, California,26000,Male,749.0,2516.0,4503.0,3987.0,4789.0,2292.0,7359.0,1784.0,4402.0,7818.0,6179.0,1751.0,2014
Fresno city, California,27000,Male,1909.0,9186.0,15542.0,26649.0,19324.0,5231.0,8815.0,965.0,1851.0,4812.0,3847.0,1994.0,2014
Fullerton city, California,28000,Male,377.0,2621.0,3776.0,5382.0,5222.0,1629.0,3938.0,815.0,1051.0,3521.0,3739.0,1027.0,2014
Garden Grove city, California,29000,Male,306.0,1857.0,4446.0,6868.0,7443.0,2264.0,7159.0,1331.0,2028.0,2370.0,2862.0,1185.0,2014
Glendale city, California,30000,Male,576.0,2598.0,7202.0,7660.0,5049.0,2072.0,7435.0,473.0,2091.0,3328.0,4416.0,987.0,2014
Hawthorne city, California,32548,Male,389.0,1408.0,3343.0,2994.0,3580.0,1806.0,3031.0,668.0,1208.0,979.0,1483.0,663.0,2014
Hayward city, California,33000,Male,252.0,1091.0,3931.0,6650.0,5771.0,1914.0,7032.0,852.0,3174.0,4686.0,5128.0,1026.0,2014
Hemet city, California,33182,Male,146.0,1707.0,993.0,1234.0,233.0,741.0,1644.0,244.0,919.0,1720.0,1848.0,1435.0,2014
Hesperia city, California,33434,Male,420.0,1576.0,1767.0,1087.0,1098.0,445.0,1144.0,433.0,501.0,4312.0,2368.0,2026.0,2014
Huntington Beach city, California,36000,Male,239.0,4198.0,5367.0,6837.0,6281.0,3120.0,10989.0,1900.0,2430.0,5852.0,4649.0,1790.0,2014
Indio city, California,36448,Male,380.0,2216.0,2512.0,3445.0,3634.0,1094.0,2927.0,0.0,261.0,143.0,282.0,450.0,2014
Inglewood city, California,36546,Male,75.0,947.0,2117.0,2356.0,4564.0,1016.0,4152.0,875.0,1107.0,2599.0,1929.0,766.0,2014
Irvine city, California,36770,Male,288.0,3282.0,9903.0,13338.0,10202.0,3935.0,7749.0,1090.0,790.0,2041.0,2757.0,1653.0,2014
Jurupa Valley city, California,37692,Male,284.0,1134.0,2532.0,4120.0,3395.0,1362.0,2424.0,108.0,1111.0,1687.0,2564.0,1481.0,2014
Laguna Niguel city, California,39248,Male,0.0,563.0,1197.0,3233.0,2324.0,1232.0,2427.0,547.0,1028.0,1425.0,1128.0,1088.0,2014
Lake Forest city, California,39496,Male,0.0,1610.0,3273.0,3380.0,3060.0,1264.0,4011.0,775.0,1266.0,1604.0,1099.0,372.0,2014
Lakewood city, California,39892,Male,47.0,706.0,1917.0,2519.0,3214.0,1264.0,3670.0,662.0,1233.0,2362.0,1997.0,470.0,2014
Lancaster city, California,40130,Male,156.0,1621.0,3068.0,7372.0,2986.0,383.0,1131.0,307.0,727.0,1923.0,4196.0,2026.0,2014
Livermore city, California,41992,Male,359.0,1895.0,2943.0,3757.0,2340.0,1760.0,1712.0,641.0,906.0,4203.0,1944.0,1463.0,2014
Long Beach city, California,43000,Male,774.0,6511.0,12130.0,19529.0,15451.0,6527.0,19202.0,3916.0,5829.0,10747.0,9889.0,3591.0,2014
Los Angeles city, California,44000,Male,10302.0,50899.0,99404.0,129711.0,136006.0,55585.0,195125.0,25386.0,54310.0,98411.0,90574.0,30738.0,2014
Lynwood city, California,44574,Male,205.0,1245.0,779.0,1020.0,2823.0,397.0,4653.0,403.0,1741.0,2338.0,902.0,746.0,2014
Manteca city, California,45484,Male,389.0,1010.0,1343.0,1914.0,2406.0,643.0,2330.0,138.0,287.0,1151.0,1980.0,2558.0,2014
Menifee city, California,46842,Male,286.0,469.0,728.0,1968.0,1140.0,449.0,2226.0,462.0,608.0,2365.0,2375.0,1872.0,2014
Merced city, California,46898,Male,888.0,2257.0,3186.0,3638.0,1576.0,459.0,1058.0,257.0,78.0,556.0,895.0,247.0,2014
Milpitas city, California,47766,Male,226.0,1029.0,2217.0,3123.0,2293.0,1330.0,4046.0,346.0,927.0,792.0,1251.0,633.0,2014
Mission Viejo city, California,48256,Male,456.0,1214.0,2372.0,3913.0,2889.0,2415.0,3992.0,534.0,1455.0,2276.0,2427.0,1241.0,2014
Modesto city, California,48354,Male,1018.0,3582.0,7307.0,7437.0,5328.0,2264.0,4377.0,734.0,1410.0,1575.0,2324.0,5234.0,2014
Moreno Valley city, California,49270,Male,261.0,1705.0,3326.0,4976.0,4967.0,1529.0,9658.0,1364.0,2267.0,3047.0,4991.0,4011.0,2014
Mountain View city, California,49670,Male,41.0,1992.0,3261.0,6047.0,4315.0,1701.0,3080.0,639.0,716.0,747.0,769.0,1048.0,2014
Murrieta city, California,50076,Male,834.0,1093.0,2166.0,2784.0,1732.0,695.0,1234.0,167.0,1059.0,2236.0,7055.0,3014.0,2014
Napa city, California,50258,Male,776.0,2528.0,4363.0,3296.0,1951.0,428.0,2986.0,579.0,742.0,1245.0,1588.0,408.0,2014
Newport Beach city, California,51182,Male,192.0,1823.0,3783.0,4410.0,4841.0,570.0,2145.0,48.0,424.0,1463.0,1167.0,676.0,2014
Norwalk city, California,52526,Male,225.0,1480.0,2409.0,5075.0,3804.0,1626.0,4361.0,918.0,1453.0,2122.0,1575.0,1754.0,2014
Oakland city, California,53000,Male,641.0,4418.0,10623.0,13589.0,14187.0,6756.0,15257.0,3146.0,5452.0,10400.0,7843.0,3806.0,2014
Oceanside city, California,53322,Male,395.0,2222.0,4834.0,8085.0,6882.0,2616.0,5342.0,980.0,1122.0,3147.0,3384.0,2040.0,2014
Ontario city, California,53896,Male,335.0,1557.0,3810.0,5626.0,6600.0,2395.0,8764.0,811.0,1235.0,3317.0,4460.0,2805.0,2014
Orange city, California,53980,Male,705.0,1731.0,5071.0,5434.0,6852.0,1946.0,5461.0,860.0,1452.0,2385.0,2260.0,370.0,2014
Oxnard city, California,54652,Male,524.0,1714.0,5709.0,6476.0,9132.0,8913.0,10438.0,530.0,1009.0,3628.0,2246.0,785.0,2014
Palmdale city, California,55156,Male,317.0,1271.0,4708.0,4623.0,2724.0,946.0,1801.0,349.0,879.0,4828.0,7595.0,4824.0,2014
Palo Alto city, California,55282,Male,172.0,2012.0,2474.0,2814.0,4138.0,1077.0,2417.0,175.0,335.0,1294.0,719.0,295.0,2014
Pasadena city, California,56000,Male,768.0,3584.0,5070.0,5269.0,4570.0,2132.0,4849.0,1340.0,1041.0,5105.0,2900.0,1212.0,2014
Perris city, California,56700,Male,0.0,697.0,993.0,1109.0,2420.0,1131.0,3647.0,203.0,1545.0,1888.0,2275.0,1003.0,2014
Pittsburg city, California,57456,Male,251.0,269.0,1031.0,1254.0,1026.0,221.0,1446.0,361.0,551.0,1891.0,3118.0,2497.0,2014
Pleasanton city, California,57792,Male,462.0,2286.0,3250.0,2434.0,1340.0,697.0,1173.0,567.0,718.0,2892.0,3788.0,690.0,2014
Pomona city, California,58072,Male,204.0,1661.0,4074.0,4888.0,4919.0,1857.0,4821.0,612.0,1228.0,3336.0,3084.0,1594.0,2014
Rancho Cordova city, California,59444,Male,95.0,1289.0,2680.0,2612.0,3622.0,1059.0,1440.0,362.0,558.0,1101.0,404.0,284.0,2014
Rancho Cucamonga city, California,59451,Male,231.0,1700.0,4085.0,4601.0,6211.0,3201.0,4293.0,804.0,1808.0,3298.0,6403.0,3684.0,2014
Redding city, California,59920,Male,374.0,3382.0,4248.0,4527.0,1285.0,571.0,502.0,0.0,44.0,357.0,688.0,676.0,2014
Redlands city, California,59962,Male,125.0,1404.0,3745.0,2370.0,2188.0,747.0,2011.0,470.0,43.0,872.0,1421.0,106.0,2014
Redondo Beach city, California,60018,Male,56.0,1505.0,2110.0,3478.0,2638.0,1783.0,1541.0,471.0,751.0,1837.0,1351.0,40.0,2014
Redwood City city, California,60102,Male,911.0,1623.0,3468.0,2394.0,5390.0,1853.0,3497.0,751.0,1046.0,1100.0,887.0,555.0,2014
Rialto city, California,60466,Male,91.0,990.0,1197.0,2985.0,3862.0,1042.0,5348.0,321.0,853.0,1509.0,2420.0,1879.0,2014
Richmond city, California,60620,Male,184.0,747.0,2061.0,3315.0,2314.0,1126.0,4035.0,1214.0,1828.0,2854.0,4225.0,1141.0,2014
Riverside city, California,62000,Male,1092.0,4534.0,9717.0,9209.0,7552.0,5566.0,11671.0,1663.0,3321.0,4434.0,8872.0,4552.0,2014
Roseville city, California,62938,Male,1565.0,2614.0,3719.0,4334.0,3307.0,1467.0,3387.0,963.0,1884.0,2112.0,1290.0,796.0,2014
Sacramento city, California,64000,Male,2608.0,8091.0,14312.0,19976.0,17773.0,5628.0,14606.0,1658.0,2748.0,5952.0,3403.0,5156.0,2014
Salinas city, California,64224,Male,583.0,2175.0,4492.0,8708.0,7649.0,1349.0,4306.0,895.0,2168.0,1481.0,1418.0,764.0,2014
San Bernardino city, California,65000,Male,453.0,2139.0,6650.0,5347.0,5194.0,2437.0,5362.0,862.0,1697.0,2537.0,3283.0,1721.0,2014
San Buenaventura (Ventura) city, California,65042,Male,558.0,3587.0,4366.0,3965.0,2032.0,1508.0,4582.0,481.0,691.0,2297.0,1119.0,731.0,2014
San Clemente city, California,65084,Male,247.0,746.0,1431.0,2028.0,1461.0,604.0,1612.0,494.0,1110.0,1977.0,1110.0,464.0,2014
San Diego city, California,66000,Male,6233.0,22717.0,48367.0,67894.0,68878.0,27727.0,58818.0,8923.0,11494.0,16162.0,11904.0,7497.0,2014
San Francisco city, California,67000,Male,2602.0,9280.0,20692.0,30361.0,36521.0,15624.0,43107.0,7878.0,12704.0,25894.0,27540.0,7870.0,2014
San Jose city, California,68000,Male,2416.0,11819.0,25840.0,41040.0,47985.0,23914.0,52948.0,6702.0,11910.0,24997.0,14850.0,6577.0,2014
San Leandro city, California,68084,Male,69.0,1786.0,1548.0,3143.0,2766.0,1633.0,3369.0,994.0,1113.0,2676.0,1805.0,780.0,2014
San Marcos city, California,68196,Male,564.0,1869.0,2209.0,4458.0,2909.0,1505.0,3440.0,681.0,904.0,1701.0,936.0,562.0,2014
San Mateo city, California,68252,Male,182.0,1971.0,4150.0,4942.0,3770.0,1973.0,3433.0,1770.0,1072.0,2282.0,2424.0,0.0,2014
San Ramon city, California,68378,Male,0.0,570.0,1799.0,1371.0,1083.0,792.0,1598.0,714.0,1715.0,2358.0,4301.0,936.0,2014
Santa Ana city, California,69000,Male,924.0,3202.0,10567.0,16080.0,15073.0,8452.0,15838.0,2151.0,4006.0,5793.0,4136.0,1812.0,2014
Santa Barbara city, California,69070,Male,871.0,3699.0,8461.0,4778.0,2244.0,905.0,1378.0,268.0,362.0,593.0,849.0,39.0,2014
Santa Clara city, California,69084,Male,27.0,1813.0,5228.0,6018.0,10117.0,3332.0,3926.0,816.0,1139.0,934.0,1210.0,660.0,2014
Santa Clarita city, California,69088,Male,608.0,3226.0,4788.0,6284.0,2354.0,995.0,5040.0,1672.0,2301.0,6037.0,7311.0,1911.0,2014
Santa Maria city, California,69196,Male,254.0,2212.0,4061.0,5123.0,3277.0,994.0,4982.0,367.0,1280.0,1115.0,567.0,222.0,2014
Santa Monica city, California,70000,Male,589.0,2223.0,3051.0,2861.0,3631.0,921.0,3048.0,1466.0,1007.0,2235.0,1374.0,137.0,2014
Santa Rosa city, California,70098,Male,538.0,5336.0,7713.0,8434.0,4719.0,2098.0,3494.0,821.0,1160.0,1665.0,2379.0,1388.0,2014
Simi Valley city, California,72016,Male,384.0,2039.0,4373.0,3099.0,3646.0,2244.0,5984.0,1269.0,1550.0,3002.0,2271.0,1202.0,2014
South Gate city, California,73080,Male,238.0,324.0,2161.0,3011.0,2272.0,1785.0,5811.0,807.0,1018.0,1246.0,2213.0,570.0,2014
South San Francisco city, California,73262,Male,116.0,1201.0,2322.0,2447.0,3562.0,848.0,3421.0,234.0,640.0,2002.0,1208.0,683.0,2014
Stockton city, California,75000,Male,1144.0,4812.0,10151.0,12084.0,8856.0,2438.0,6428.0,1131.0,1194.0,2846.0,3565.0,6179.0,2014
Sunnyvale city, California,77000,Male,112.0,2312.0,6028.0,9181.0,11007.0,2779.0,4577.0,238.0,809.0,1552.0,1511.0,1109.0,2014
Temecula city, California,78120,Male,190.0,2707.0,2316.0,2542.0,1429.0,718.0,2090.0,844.0,1623.0,4019.0,4312.0,1305.0,2014
Thousand Oaks city, California,78582,Male,940.0,1905.0,5461.0,5576.0,4069.0,1629.0,2521.0,943.0,1106.0,2198.0,3719.0,1121.0,2014
Torrance city, California,80000,Male,279.0,2234.0,3111.0,5869.0,5585.0,1748.0,5193.0,1551.0,1559.0,5109.0,3486.0,860.0,2014
Tracy city, California,80238,Male,198.0,890.0,3133.0,1352.0,1478.0,462.0,1539.0,569.0,659.0,1737.0,5842.0,2860.0,2014
Turlock city, California,80812,Male,513.0,1853.0,3815.0,2110.0,2750.0,1216.0,1681.0,22.0,1077.0,522.0,128.0,781.0,2014
Tustin city, California,80854,Male,512.0,1909.0,3460.0,2803.0,3408.0,3161.0,2814.0,314.0,509.0,441.0,746.0,907.0,2014
Union City city, California,81204,Male,21.0,440.0,840.0,1377.0,1886.0,365.0,2160.0,204.0,760.0,2230.0,1208.0,196.0,2014
Upland city, California,81344,Male,132.0,1907.0,1532.0,1534.0,1579.0,1011.0,2982.0,630.0,837.0,1915.0,2377.0,943.0,2014
Vacaville city, California,81554,Male,345.0,1854.0,3414.0,3804.0,2602.0,777.0,1808.0,317.0,430.0,1789.0,2253.0,1605.0,2014
Vallejo city, California,81666,Male,660.0,2474.0,2470.0,1632.0,2094.0,899.0,3789.0,374.0,1702.0,3717.0,3795.0,1828.0,2014
Victorville city, California,82590,Male,570.0,1672.0,3222.0,1437.0,1291.0,242.0,662.0,552.0,675.0,3809.0,1322.0,2001.0,2014
Visalia city, California,82954,Male,1269.0,2750.0,4585.0,4996.0,3386.0,969.0,2408.0,755.0,585.0,1650.0,1007.0,632.0,2014
Vista city, California,82996,Male,533.0,2387.0,3856.0,6015.0,4441.0,466.0,2808.0,405.0,862.0,1023.0,1545.0,912.0,2014
Walnut Creek city, California,83346,Male,145.0,831.0,1372.0,1537.0,1428.0,607.0,1787.0,642.0,567.0,1792.0,1635.0,535.0,2014
West Covina city, California,84200,Male,394.0,894.0,2108.0,3508.0,2260.0,1320.0,3363.0,681.0,1043.0,3217.0,2860.0,1778.0,2014
Westminster city, California,84550,Male,140.0,1374.0,2949.0,4294.0,3606.0,1530.0,5137.0,885.0,819.0,1025.0,1203.0,984.0,2014
Whittier city, California,85292,Male,769.0,476.0,1655.0,2360.0,2677.0,1161.0,3013.0,1481.0,1063.0,2801.0,2079.0,888.0,2014
Yorba Linda city, California,86832,Male,270.0,292.0,1125.0,1813.0,1899.0,1554.0,2871.0,1175.0,1352.0,2325.0,2123.0,638.0,2014
Yuba City city, California,86972,Male,25.0,3598.0,3127.0,1668.0,932.0,363.0,414.0,199.0,484.0,1365.0,1262.0,503.0,2014
Arvada city, Colorado,03455,Male,318.0,1248.0,3099.0,4684.0,4826.0,2435.0,5056.0,1452.0,1584.0,3819.0,1379.0,715.0,2014
Aurora city, Colorado,04000,Male,688.0,3396.0,5424.0,11997.0,15668.0,8236.0,19746.0,4108.0,3785.0,8071.0,6590.0,2765.0,2014
Boulder city, Colorado,07850,Male,1563.0,5235.0,6679.0,6027.0,3819.0,587.0,1234.0,491.0,755.0,783.0,611.0,383.0,2014
Centennial city, Colorado,12815,Male,490.0,1936.0,3667.0,4208.0,5047.0,2348.0,4369.0,868.0,1678.0,2081.0,1823.0,517.0,2014
Colorado Springs city, Colorado,16000,Male,2674.0,10642.0,19322.0,22340.0,22553.0,7383.0,14231.0,1959.0,2509.0,3946.0,2518.0,4257.0,2014
Denver city, Colorado,20000,Male,2982.0,12370.0,22166.0,30778.0,29371.0,12441.0,34227.0,5969.0,7490.0,12056.0,7600.0,3486.0,2014
Fort Collins city, Colorado,27425,Male,1323.0,3720.0,9289.0,10016.0,5077.0,1268.0,3262.0,749.0,882.0,1858.0,1622.0,670.0,2014
Greeley city, Colorado,32155,Male,608.0,2566.0,3949.0,4218.0,2401.0,1642.0,2579.0,298.0,653.0,1782.0,1437.0,291.0,2014
Highlands Ranch CDP, Colorado,36410,Male,83.0,1374.0,3367.0,3041.0,5143.0,1905.0,3342.0,1057.0,610.0,2570.0,1735.0,352.0,2014
Lakewood city, Colorado,43000,Male,881.0,3359.0,4563.0,5496.0,5430.0,2242.0,7195.0,1697.0,1867.0,4202.0,2798.0,265.0,2014
Longmont city, Colorado,45970,Male,577.0,2495.0,3641.0,2523.0,2461.0,1842.0,1782.0,1264.0,673.0,2011.0,1428.0,382.0,2014
Loveland city, Colorado,46465,Male,205.0,1828.0,2473.0,2653.0,2136.0,1969.0,2404.0,934.0,290.0,1024.0,1677.0,364.0,2014
Pueblo city, Colorado,62000,Male,817.0,2198.0,4726.0,3525.0,2306.0,394.0,1875.0,312.0,1105.0,1410.0,421.0,161.0,2014
Thornton city, Colorado,77290,Male,268.0,1025.0,2028.0,3904.0,4788.0,2972.0,7534.0,1627.0,2912.0,4489.0,2064.0,656.0,2014
Westminster city, Colorado,83835,Male,558.0,2119.0,3767.0,4273.0,4350.0,2220.0,6060.0,1253.0,1935.0,3291.0,1652.0,436.0,2014
Bridgeport city, Connecticut,08000,Male,552.0,3553.0,4147.0,6606.0,4539.0,2240.0,3523.0,173.0,1197.0,2063.0,3084.0,1013.0,2014
Danbury city, Connecticut,18430,Male,337.0,1693.0,4698.0,3724.0,3607.0,1068.0,2171.0,572.0,291.0,2101.0,2312.0,429.0,2014
Hartford city, Connecticut,37000,Male,1039.0,2044.0,3910.0,4696.0,3966.0,630.0,2641.0,443.0,341.0,551.0,1107.0,389.0,2014
New Britain city, Connecticut,50370,Male,375.0,1139.0,5302.0,2135.0,3444.0,769.0,1807.0,108.0,234.0,497.0,195.0,384.0,2014
New Haven city, Connecticut,52000,Male,743.0,2813.0,5731.0,5322.0,5560.0,1764.0,2026.0,278.0,269.0,1508.0,1565.0,999.0,2014
Norwalk city, Connecticut,55990,Male,776.0,1910.0,3549.0,4169.0,3483.0,935.0,2839.0,123.0,806.0,1715.0,940.0,1685.0,2014
Stamford city, Connecticut,73000,Male,737.0,3666.0,6728.0,6648.0,4501.0,1374.0,5061.0,691.0,990.0,1445.0,4172.0,1810.0,2014
Waterbury city, Connecticut,80000,Male,847.0,1637.0,3983.0,4058.0,3109.0,850.0,3288.0,1228.0,1111.0,1223.0,1282.0,569.0,2014
Wilmington city, Delaware,77580,Male,837.0,1589.0,3163.0,2933.0,1644.0,504.0,2385.0,130.0,29.0,575.0,462.0,254.0,2014
Washington city, District of Columbia,50000,Male,2057.0,8182.0,11950.0,20173.0,24149.0,12501.0,33963.0,8420.0,9032.0,15563.0,8368.0,3012.0,2014
Alafaya CDP, Florida,00410,Male,359.0,222.0,2567.0,1537.0,3504.0,2299.0,4708.0,945.0,2192.0,3351.0,524.0,48.0,2014
Boca Raton city, Florida,07300,Male,153.0,2495.0,3085.0,4811.0,3801.0,2232.0,2661.0,468.0,765.0,721.0,1129.0,367.0,2014
Boynton Beach city, Florida,07875,Male,339.0,986.0,3412.0,2070.0,3456.0,1216.0,3369.0,140.0,405.0,675.0,490.0,476.0,2014
Brandon CDP, Florida,08150,Male,531.0,1152.0,2824.0,4642.0,4399.0,1446.0,3553.0,987.0,554.0,2286.0,1145.0,135.0,2014
Cape Coral city, Florida,10275,Male,730.0,2191.0,3580.0,6446.0,6097.0,2366.0,6988.0,1098.0,979.0,2908.0,1982.0,427.0,2014
Clearwater city, Florida,12875,Male,1044.0,1730.0,2773.0,4327.0,3915.0,1767.0,3426.0,960.0,1064.0,1823.0,1075.0,186.0,2014
Coral Springs city, Florida,14400,Male,831.0,1813.0,3633.0,3487.0,5404.0,2177.0,6625.0,1495.0,2060.0,3993.0,2342.0,431.0,2014
Davie town, Florida,16475,Male,71.0,1569.0,1275.0,4132.0,4167.0,2575.0,3410.0,1396.0,1385.0,2664.0,790.0,85.0,2014
Deerfield Beach city, Florida,16725,Male,194.0,1800.0,2455.0,3068.0,4226.0,1184.0,2773.0,504.0,410.0,674.0,486.0,487.0,2014
Delray Beach city, Florida,17100,Male,243.0,1654.0,2877.0,3968.0,2290.0,517.0,2135.0,42.0,723.0,428.0,922.0,318.0,2014
Deltona city, Florida,17200,Male,63.0,181.0,536.0,1301.0,2591.0,1273.0,4992.0,1278.0,749.0,3501.0,1326.0,115.0,2014
Fort Lauderdale city, Florida,24000,Male,1149.0,3956.0,6475.0,7762.0,6142.0,2093.0,6226.0,1708.0,2024.0,2979.0,2177.0,750.0,2014
Fort Myers city, Florida,24125,Male,70.0,880.0,1546.0,1986.0,2485.0,1044.0,1788.0,299.0,497.0,2004.0,616.0,191.0,2014
Gainesville city, Florida,25175,Male,1271.0,3495.0,6080.0,7973.0,3793.0,1462.0,647.0,153.0,221.0,626.0,361.0,254.0,2014
Hialeah city, Florida,30000,Male,298.0,1532.0,10253.0,7422.0,11895.0,2369.0,9680.0,1257.0,2683.0,2883.0,1481.0,451.0,2014
Hollywood city, Florida,32000,Male,648.0,1931.0,2892.0,3890.0,7014.0,2872.0,5507.0,1350.0,2648.0,3617.0,4092.0,826.0,2014
Homestead city, Florida,32275,Male,0.0,415.0,1324.0,2330.0,1417.0,1132.0,2288.0,726.0,590.0,1399.0,2476.0,310.0,2014
Jacksonville city, Florida,35000,Male,3045.0,17317.0,22391.0,32687.0,41489.0,18496.0,30251.0,3037.0,5884.0,10622.0,4116.0,4923.0,2014
Kendall CDP, Florida,36100,Male,73.0,1305.0,1173.0,2770.0,4057.0,1382.0,3416.0,833.0,855.0,2762.0,2699.0,376.0,2014
Kissimmee city, Florida,36950,Male,262.0,587.0,2359.0,2279.0,2554.0,1254.0,3416.0,856.0,1463.0,639.0,1223.0,115.0,2014
Lakeland city, Florida,38250,Male,494.0,1830.0,3410.0,4381.0,3749.0,580.0,2463.0,326.0,581.0,1097.0,674.0,194.0,2014
Largo city, Florida,39425,Male,374.0,973.0,3174.0,3253.0,2673.0,888.0,2046.0,783.0,771.0,904.0,688.0,619.0,2014
Lauderhill city, Florida,39550,Male,239.0,304.0,683.0,2548.0,1837.0,950.0,2982.0,424.0,697.0,1401.0,283.0,428.0,2014
Lehigh Acres CDP, Florida,39925,Male,331.0,419.0,1080.0,2236.0,1751.0,1790.0,5192.0,1757.0,1401.0,3792.0,2490.0,465.0,2014
Melbourne city, Florida,43975,Male,744.0,1093.0,2754.0,4334.0,3059.0,1048.0,1258.0,280.0,73.0,494.0,567.0,335.0,2014
Miami city, Florida,45000,Male,1514.0,4384.0,10887.0,13314.0,20334.0,6355.0,25836.0,1817.0,4490.0,8803.0,7407.0,2228.0,2014
Miami Beach city, Florida,45025,Male,469.0,1809.0,3012.0,2571.0,3539.0,1939.0,5890.0,691.0,722.0,1364.0,1534.0,438.0,2014
Miami Gardens city, Florida,45060,Male,155.0,532.0,1902.0,2516.0,2541.0,1314.0,5997.0,914.0,1253.0,1931.0,750.0,460.0,2014
